Category,file_type,perc_number,perc_storage
Model,C/C++,19.599625000000003,2.082691666666667
Model,Python,18.56965,2.2611333333333334
Model,PEP,15.861008333333332,4.704458333333333
Model,Perl,6.5916916666666685,0.6001416666666667
Model,ELF/COFF,4.486616666666667,47.90169166666667
Model,Data/ DB,2.8159749999999995,0.6546083333333333
Model,DOC,2.7889583333333334,0.2658416666666667
Model,archive,2.0957399999999997,0.14992999999999998
Model,Js,1.945654545454545,0.654990909090909
Model,.urdf,1.9293,0.0
Model,.mtl,1.8927,0.0
Model,Config,1.8342166666666666,0.051075
Model,Rust,1.4099555555555556,0.01883333333333333
Model,Model/ Weight,1.3684083333333337,0.30145
Model,debian,1.2148416666666668,0.03358333333333333
MLOps/ AIOps,Python,17.410725641025643,3.7303987012987014
MLOps/ AIOps,PEP,14.325854166666668,7.325122535211266
MLOps/ AIOps,C/C++,11.403593333333333,2.065364864864865
MLOps/ AIOps,Julia,11.0126,1.6468
MLOps/ AIOps,.ll,7.52675,1.0741
MLOps/ AIOps,Goland,6.717829999999999,1.61241
MLOps/ AIOps,ELF/COFF,5.288682142857143,39.18301445783133
MLOps/ AIOps,.nii.1,4.94465,1.40335
MLOps/ AIOps,Perl,4.8887225,0.5773455696202531
MLOps/ AIOps,Js,4.836122727272728,2.3484184615384613
MLOps/ AIOps,image,4.544205405405406,0.7804342465753424
MLOps/ AIOps,.vf,4.480325,0.21522500000000003
MLOps/ AIOps,DOC,3.070742168674699,0.7525743902439025
MLOps/ AIOps,Data/ DB,2.7019626506024097,1.51784756097561
MLOps/ AIOps,BUILD,2.6247,0.09999999999999999
DL Framwork,Python,19.033193220338987,2.0935758620689655
DL Framwork,C/C++,16.320574137931036,1.7941736842105265
DL Framwork,PEP,15.236242592592593,4.832158490566036
DL Framwork,.ri,12.5676,0.0
DL Framwork,.pass.1,8.3075,0.0
DL Framwork,Perl,4.303484745762712,0.3744534482758621
DL Framwork,Goland,4.289620000000001,0.7578999999999999
DL Framwork,ELF/COFF,4.222749152542373,49.93036724137931
DL Framwork,Ruby,3.9792750000000003,0.445075
DL Framwork,.htf,3.3062,0.0607
DL Framwork,image,3.207003389830509,0.3262189655172414
DL Framwork,Data/ DB,2.4685254237288135,1.1884724137931035
DL Framwork,DOC,2.3430152542372884,0.3115913793103448
DL Framwork,.rg,2.1545,0.0109
DL Framwork,Rust,2.101165306122449,0.022766666666666668
Toolkit,.csl,39.4564,3.317
Toolkit,Python,16.747593220338985,2.397074576271187
Toolkit,C/C++,16.226705263157896,2.7466368421052634
Toolkit,PEP,13.715826923076921,5.1698
Toolkit,.pass.1,8.5393,0.5031
Toolkit,.nii.1,8.1753,0.4412
Toolkit,Julia,7.8420000000000005,1.27195
Toolkit,.htf,6.8371,0.128
Toolkit,Ruby,4.940766666666667,0.6791666666666667
Toolkit,ELF/COFF,4.409638983050847,41.56629830508475
Toolkit,Perl,4.128515789473684,0.35479122807017544
Toolkit,archive,3.4524568181818194,0.3772272727272728
Toolkit,.make,2.899163636363636,0.15723636363636365
Toolkit,Data/ DB,2.8789745762711867,2.032220338983051
Toolkit,.ll,2.7620500000000003,0.36935
Application System,gorse-,100.0,100.0
Application System,opam,20.3204,0.7696
Application System,Python,16.96680194805195,3.022776470588236
Application System,.uexp,16.02395,20.13915
Application System,.uasset,15.934949999999999,0.10369999999999999
Application System,requires,15.6721,0.0
Application System,sha1,15.6721,0.0
Application System,C/C++,13.549409032258065,2.015210389610389
Application System,PEP,13.420203448275862,7.025211805555555
Application System,.ll,12.9263,0.6328
Application System,Goland,10.0874,2.394188888888889
Application System,.v.1,8.0691,0.0203
Application System,.pass.1,6.476,0.3581
Application System,.ri,5.4457,0.0819
Application System,.ml,4.8636,0.80375
Documentation,Python,20.755233333333337,1.9220166666666667
Documentation,C/C++,17.843216666666667,1.9647333333333334
Documentation,PEP,13.658033333333334,4.225633333333334
Documentation,Js,5.034816666666667,2.192316666666667
Documentation,ELF/COFF,4.034683333333333,32.7574
Documentation,Rust,3.1639199999999996,0.06876
Documentation,Perl,2.88645,0.36014999999999997
Documentation,Data/ DB,2.315733333333333,0.6614666666666666
Documentation,image,2.1891833333333333,0.8777833333333334
Documentation,archive,1.87722,0.0113
Documentation,DOC,1.7509500000000002,0.17333333333333334
Documentation,Model/ Weight,0.9184833333333332,0.13926666666666668
Documentation,Makefile,0.8804666666666666,0.1611
Documentation,certif/ keys,0.7844000000000001,0.39704999999999996
Documentation,debian,0.7307166666666668,0.01735
