Image,RepoTag,config_size,config_digest,created,created_by,empty_layer,comments
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T00:22:54.5365217Z,/bin/sh -c #(nop) ADD file:4eb02fc768cad452a37e8df30bbfcc728f3e6e7ca33af177fd4de06fd07c2098 in / ,,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T00:22:55.325468833Z,/bin/sh -c rm -rf /var/lib/apt/lists/*,,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T00:22:56.055152744Z,"/bin/sh -c set -xe 		&& echo '#!/bin/sh' > /usr/sbin/policy-rc.d 	&& echo 'exit 101' >> /usr/sbin/policy-rc.d 	&& chmod +x /usr/sbin/policy-rc.d 		&& dpkg-divert --local --rename --add /sbin/initctl 	&& cp -a /usr/sbin/policy-rc.d /sbin/initctl 	&& sed -i 's/^exit.*/exit 0/' /sbin/initctl 		&& echo 'force-unsafe-io' > /etc/dpkg/dpkg.cfg.d/docker-apt-speedup 		&& echo 'DPkg::Post-Invoke { ""rm -f /var/cache/apt/archives/*.deb /var/cache/apt/archives/partial/*.deb /var/cache/apt/*.bin || true""; };' > /etc/apt/apt.conf.d/docker-clean 	&& echo 'APT::Update::Post-Invoke { ""rm -f /var/cache/apt/archives/*.deb /var/cache/apt/archives/partial/*.deb /var/cache/apt/*.bin || true""; };' >> /etc/apt/apt.conf.d/docker-clean 	&& echo 'Dir::Cache::pkgcache """"; Dir::Cache::srcpkgcache """";' >> /etc/apt/apt.conf.d/docker-clean 		&& echo 'Acquire::Languages ""none"";' > /etc/apt/apt.conf.d/docker-no-languages 		&& echo 'Acquire::GzipIndexes ""true""; Acquire::CompressionTypes::Order:: ""gz"";' > /etc/apt/apt.conf.d/docker-gzip-indexes 		&& echo 'Apt::AutoRemove::SuggestsImportant ""false"";' > /etc/apt/apt.conf.d/docker-autoremove-suggests",,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T00:22:56.793017958Z,/bin/sh -c mkdir -p /run/systemd && echo 'docker' > /run/systemd/container,,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T00:22:56.968871541Z,"/bin/sh -c #(nop)  CMD [""/bin/bash""]",True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:02:48.518845654Z,/bin/sh -c #(nop)  LABEL maintainer=NVIDIA CORPORATION <cudatools@nvidia.com>,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:03:27.81620574Z,"/bin/sh -c apt-get update && apt-get install -y --no-install-recommends ca-certificates apt-transport-https gnupg-curl &&     NVIDIA_GPGKEY_SUM=d1be581509378368edeec8c1eb2958702feedf3bc3d17011adbf24efacce4ab5 &&     NVIDIA_GPGKEY_FPR=ae09fe4bbd223a84b2ccfce3f60f4b3d7fa2af80 &&     apt-key adv --fetch-keys https://developer.download.nvidia.com/compute/cuda/repos/ubuntu1604/x86_64/7fa2af80.pub &&     apt-key adv --export --no-emit-version -a $NVIDIA_GPGKEY_FPR | tail -n +5 > cudasign.pub &&     echo ""$NVIDIA_GPGKEY_SUM  cudasign.pub"" | sha256sum -c --strict - && rm cudasign.pub &&     echo ""deb https://developer.download.nvidia.com/compute/cuda/repos/ubuntu1604/x86_64 /"" > /etc/apt/sources.list.d/cuda.list &&     echo ""deb https://developer.download.nvidia.com/compute/machine-learning/repos/ubuntu1604/x86_64 /"" > /etc/apt/sources.list.d/nvidia-ml.list &&     apt-get purge --auto-remove -y gnupg-curl && rm -rf /var/lib/apt/lists/*",,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:06.769964104Z,/bin/sh -c #(nop)  ENV CUDA_VERSION=9.0.176,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:08.462678257Z,/bin/sh -c #(nop)  ENV CUDA_PKG_VERSION=9-0=9.0.176-1,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:24.433146128Z,/bin/sh -c apt-get update && apt-get install -y --no-install-recommends         cuda-cudart-$CUDA_PKG_VERSION && ln -s cuda-9.0 /usr/local/cuda &&     rm -rf /var/lib/apt/lists/*,,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:26.038918669Z,/bin/sh -c #(nop)  LABEL com.nvidia.volumes.needed=nvidia_driver,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:26.842722221Z,/bin/sh -c #(nop)  LABEL com.nvidia.cuda.version=9.0.176,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:29.225351247Z,"/bin/sh -c echo ""/usr/local/nvidia/lib"" >> /etc/ld.so.conf.d/nvidia.conf &&     echo ""/usr/local/nvidia/lib64"" >> /etc/ld.so.conf.d/nvidia.conf",,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:30.180450053Z,/bin/sh -c #(nop)  ENV PATH=/usr/local/nvidia/bin:/usr/local/cuda/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:31.105096975Z,/bin/sh -c #(nop)  ENV LD_LIBRARY_PATH=/usr/local/nvidia/lib:/usr/local/nvidia/lib64,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:32.176802495Z,/bin/sh -c #(nop)  ENV NVIDIA_VISIBLE_DEVICES=all,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:33.553819208Z,"/bin/sh -c #(nop)  ENV NVIDIA_DRIVER_CAPABILITIES=compute,utility",True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:34.689152037Z,/bin/sh -c #(nop)  ENV NVIDIA_REQUIRE_CUDA=cuda>=9.0 ,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:35.909858764Z,/bin/sh -c #(nop)  LABEL maintainer=NVIDIA CORPORATION <cudatools@nvidia.com>,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:11:37.185120157Z,/bin/sh -c #(nop)  ENV NCCL_VERSION=2.4.8,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:12:45.022158661Z,/bin/sh -c apt-get update && apt-get install -y --no-install-recommends     cuda-libraries-$CUDA_PKG_VERSION cuda-cublas-9-0=9.0.176.4-1 libnccl2=$NCCL_VERSION-1+cuda9.0 &&     apt-mark hold libnccl2 &&     rm -rf /var/lib/apt/lists/*,,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:12:53.952619586Z,/bin/sh -c #(nop)  LABEL maintainer=NVIDIA CORPORATION <cudatools@nvidia.com>,True,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:14:38.343617697Z,/bin/sh -c apt-get update && apt-get install -y --no-install-recommends         cuda-nvml-dev-$CUDA_PKG_VERSION         cuda-command-line-tools-$CUDA_PKG_VERSION cuda-libraries-dev-$CUDA_PKG_VERSION         cuda-minimal-build-$CUDA_PKG_VERSION         libnccl-dev=$NCCL_VERSION-1+cuda9.0 cuda-core-9-0=9.0.176.3-1         cuda-cublas-dev-9-0=9.0.176.4-1 &&     rm -rf /var/lib/apt/lists/*,,
arunothia/cs-221,latest,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,2019-11-27T20:14:49.665768262Z,/bin/sh -c #(nop)  ENV LIBRARY_PATH=/usr/local/cuda/lib64/stubs,True,
