Category,file_type,perc_size
Toolkit,docker,99.0361
Toolkit,core,99.999
Toolkit,core,99.9987
Toolkit,core,0.165
Toolkit,core,99.9957
Toolkit,core,99.9994
Toolkit,core,99.9972
Toolkit,core,0.0085
Toolkit,core,0.4816
Toolkit,/app/coordinator,60.02
Toolkit,ELF/COFF,0.0004
Toolkit,ELF/COFF,71.714
Toolkit,ELF/COFF,49.9023
Toolkit,ELF/COFF,50.557
Toolkit,ELF/COFF,23.1664
Toolkit,ELF/COFF,17.3925
Toolkit,/vearch/vearch,12.5688
Toolkit,.rlib,11.4631
Toolkit,.ttc,9.1559
Toolkit,.SIFT.1,6.8873
Toolkit,.Hsapiens.1.2,5.9801
Toolkit,Html/Xml,5.1947
Toolkit,PEP,8.2693
Toolkit,PEP,3.9711
Toolkit,PEP,0.0375
Toolkit,PEP,0.0
Toolkit,PEP,1.8427
Toolkit,PEP,1.8406
Toolkit,PEP,9.5291
Toolkit,PEP,10.065
Toolkit,PEP,1.8182
Toolkit,PEP,11.697
Toolkit,PEP,6.6084
Toolkit,a9db9699ff4fe27071053b9ab84bce5abea7a3d3b4effc46cb18d46b,4.1926
MLOps/ AIOps,manager,94.4512
MLOps/ AIOps,Model/ Weight,0.0035
MLOps/ AIOps,Model/ Weight,25.4704
MLOps/ AIOps,Model/ Weight,2.0739
MLOps/ AIOps,Model/ Weight,81.8228
MLOps/ AIOps,Model/ Weight,0.7045
MLOps/ AIOps,kubectl,3.5983
MLOps/ AIOps,kubectl,0.2708
MLOps/ AIOps,kubectl,59.659
MLOps/ AIOps,ELF/COFF,56.844
MLOps/ AIOps,ELF/COFF,37.994
MLOps/ AIOps,ELF/COFF,32.6084
MLOps/ AIOps,ELF/COFF,13.5402
MLOps/ AIOps,ELF/COFF,50.5675
MLOps/ AIOps,ELF/COFF,28.7069
MLOps/ AIOps,ELF/COFF,30.4402
MLOps/ AIOps,ELF/COFF,18.862
MLOps/ AIOps,ELF/COFF,72.7358
MLOps/ AIOps,ELF/COFF,55.1728
MLOps/ AIOps,ELF/COFF,53.1387
MLOps/ AIOps,ELF/COFF,56.2258
MLOps/ AIOps,ELF/COFF,47.1751
MLOps/ AIOps,ELF/COFF,7.145
MLOps/ AIOps,ELF/COFF,0.0498
MLOps/ AIOps,ELF/COFF,4.7327
MLOps/ AIOps,ELF/COFF,3.0911
MLOps/ AIOps,ELF/COFF,0.5453
MLOps/ AIOps,ELF/COFF,0.2665
MLOps/ AIOps,ELF/COFF,0.1962
MLOps/ AIOps,ELF/COFF,0.1695
MLOps/ AIOps,ELF/COFF,0.1676
MLOps/ AIOps,ELF/COFF,0.1239
MLOps/ AIOps,ELF/COFF,0.1096
MLOps/ AIOps,ELF/COFF,0.1077
MLOps/ AIOps,ELF/COFF,0.067
MLOps/ AIOps,ELF/COFF,0.0399
MLOps/ AIOps,ELF/COFF,0.0336
MLOps/ AIOps,ELF/COFF,0.0268
MLOps/ AIOps,ELF/COFF,0.0254
MLOps/ AIOps,ELF/COFF,0.0217
MLOps/ AIOps,ELF/COFF,0.0146
MLOps/ AIOps,ELF/COFF,0.0107
MLOps/ AIOps,ELF/COFF,0.0088
MLOps/ AIOps,ELF/COFF,0.0078
MLOps/ AIOps,ELF/COFF,0.0057
MLOps/ AIOps,ELF/COFF,0.005
MLOps/ AIOps,ELF/COFF,0.5741
MLOps/ AIOps,ELF/COFF,32.2964
MLOps/ AIOps,ELF/COFF,40.395
MLOps/ AIOps,ELF/COFF,18.8256
MLOps/ AIOps,ELF/COFF,77.3286
MLOps/ AIOps,ELF/COFF,94.9921
MLOps/ AIOps,ELF/COFF,0.0037
MLOps/ AIOps,ELF/COFF,0.0026
MLOps/ AIOps,.linux-bionic-x64.1.2.3.4,9.9124
MLOps/ AIOps,.linux-bionic-x64.1.2.3.4,9.9131
MLOps/ AIOps,.linux-bionic-x64.1.2,9.9124
MLOps/ AIOps,.linux-bionic-x64.1.2,9.9131
MLOps/ AIOps,.pcm,9.8597
MLOps/ AIOps,/manager,2.3701
MLOps/ AIOps,/manager,1.6298
MLOps/ AIOps,/manager,24.2538
MLOps/ AIOps,Java,0.0588
MLOps/ AIOps,Java,10.0135
MLOps/ AIOps,Java,1.7738
MLOps/ AIOps,Java,33.0142
MLOps/ AIOps,Java,0.4684
MLOps/ AIOps,Java,51.1698
MLOps/ AIOps,Java,6.7061
