Category,file_type,perc_number,perc_storage
Toolkit,.csl,39.4564,3.317
Toolkit,Python,16.747516949152544,2.3970677966101697
Toolkit,C/C++,16.369773684210525,3.4519578947368426
Toolkit,PEP,14.349903703703703,4.995962962962962
Toolkit,.pass.1,8.5393,0.5031
Toolkit,.nii.1,8.1753,0.4412
Toolkit,Julia,7.8420000000000005,1.27195
Toolkit,.htf,6.8371,0.128
Toolkit,Ruby,4.940766666666667,0.6791666666666667
Toolkit,ELF/COFF,4.397815254237288,41.47622542372881
Toolkit,Perl,4.163966666666667,0.5286438596491227
Toolkit,archive,3.4233522727272727,0.37662727272727275
MLOps/ AIOps,Python,17.410502564102565,3.7303896103896106
MLOps/ AIOps,PEP,14.787084722222223,7.328053521126758
MLOps/ AIOps,C/C++,11.393840789473684,2.344149333333334
MLOps/ AIOps,Julia,11.0126,1.6468
MLOps/ AIOps,.ll,7.52675,1.0741
MLOps/ AIOps,Goland,6.717829999999999,1.61241
MLOps/ AIOps,ELF/COFF,5.277554761904763,39.1490734939759
MLOps/ AIOps,.nii.1,4.94465,1.40335
MLOps/ AIOps,Perl,4.9306237500000005,0.8666227848101264
MLOps/ AIOps,Node/js,4.840381818181819,2.662026153846154
MLOps/ AIOps,image,4.544205405405406,0.7804342465753424
MLOps/ AIOps,.vf,4.480325,0.21522500000000003
Model,C/C++,19.812549999999998,2.463158333333333
Model,Python,18.56965,2.2611333333333334
Model,PEP,15.861916666666666,4.704466666666667
Model,Perl,6.638958333333332,0.7928916666666667
Model,ELF/COFF,4.47525,47.89795000000001
Model,.vim,3.19264,0.11037999999999999
Model,Data/ DB,2.8978,0.6946250000000002
Model,DOC,2.661175,0.24129166666666668
Model,3D,2.1345,0.0
Model,archive,2.0767999999999995,0.14978
Model,Node/js,1.9486909090909088,0.7151454545454545
Model,.urdf,1.9293,0.0
Application System,gorse-,100.0,100.0
Application System,opam,20.3204,0.7696
Application System,Python,16.966711688311687,3.0227751633986935
Application System,.uexp,16.02395,20.13915
Application System,.uasset,15.934949999999999,0.10369999999999999
Application System,requires,15.6721,0.0
Application System,sha1,15.6721,0.0
Application System,C/C++,13.685965161290323,2.512372727272727
Application System,PEP,13.620540000000002,7.019877083333333
Application System,.ll,12.9263,0.6328
Application System,Goland,10.0874,2.394188888888889
Application System,.v.1,8.0691,0.0203
Documentation,Python,20.755166666666668,1.9220166666666667
Documentation,C/C++,17.980866666666667,2.202916666666667
Documentation,PEP,13.66055,4.212416666666666
Documentation,Node/js,5.037433333333333,2.193816666666667
Documentation,ELF/COFF,4.018083333333333,32.6496
Documentation,Rust,3.1639199999999996,0.06876
Documentation,Perl,2.9033333333333338,0.44003333333333333
Documentation,Data/ DB,2.480716666666667,0.794
Documentation,image,2.1891833333333333,0.8777833333333334
Documentation,archive,1.86978,0.011260000000000001
Documentation,DOC,1.6890333333333334,0.15743333333333334
Documentation,Makefile,0.8944666666666666,0.2578
DL Framwork,Python,19.03290338983051,2.093568965517241
DL Framwork,C/C++,16.463541379310346,2.209994736842105
DL Framwork,PEP,15.525685185185184,4.831850943396225
DL Framwork,.ri,12.5676,0.0
DL Framwork,.pass.1,8.3075,0.0
DL Framwork,Perl,4.331452542372881,0.5545517241379311
DL Framwork,Goland,4.289620000000001,0.7578999999999999
DL Framwork,ELF/COFF,4.208516949152543,49.90942758620689
DL Framwork,Ruby,3.9792750000000003,0.445075
DL Framwork,.htf,3.3062,0.0607
DL Framwork,image,3.207003389830509,0.3262189655172414
DL Framwork,Data/ DB,2.593798305084745,1.3040086206896553
