repos,repo_version,filename,services,images,ports,network,environment,volume,depend_on
great-expectations/great_expectations,latest,/assets/docker/postgresql/docker-compose.yml,travis_db,postgres:12,['5432:5432'],['dbnet'],"{'POSTGRES_USER': 'postgres', 'POSTGRES_HOST_AUTH_METHOD': 'trust', 'POSTGRES_DB': 'test_ci'}",,
great-expectations/great_expectations,latest,/assets/docker/linkchecker/docker-compose.yml,linkchecker,linkchecker:1.0,,,,,
great-expectations/great_expectations,latest,/assets/docker/readthedocs/docker-compose.yml,rtd,readthedocs/build:6.0,,,,,
great-expectations/great_expectations,latest,/assets/docker/mysql/docker-compose.yml,mysql_db,mysql:8.0.20,['3306:3306'],['dbnet'],"{'MYSQL_ALLOW_EMPTY_PASSWORD': 'true', 'MYSQL_DATABASE': 'test_ci'}",['./conf.d:/etc/mysql/conf.d'],
great-expectations/great_expectations,latest,/assets/docker/mssql/docker-compose.yml,mssql_db,mcr.microsoft.com/mssql/server:2019-latest,['1433:1433'],['dbnet'],"{'ACCEPT_EULA': 'Y', 'MSSQL_SA_PASSWORD': 'ReallyStrongPwd1234%^&*', 'MSSQL_DB': 'test_ci', 'MSSQL_PID': 'Developer'}",,
jbarlow83/OCRmyPDF,latest,/misc/docker-compose.example.yml,ocrmypdf,jbarlow83/ocrmypdf,,,['OCR_OUTPUT_DIRECTORY_YEAR_MONTH=0'],"['/media/scan:/input', '/mnt/scan:/output']",
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,scheduler,libertem/libertem:triage,['8786:8786'],,,,
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,worker-1,libertem/libertem:triage,,,,"[{'type': 'bind', 'source': '../../data', 'target': '/data'}]",['scheduler']
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,worker-2,libertem/libertem:triage,,,,"[{'type': 'bind', 'source': '../../data', 'target': '/data'}]",['scheduler']
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,ipy-controller,libertem/libertem-dev,,,,['ipyconfig:/root/.ipython/'],
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,ipy-worker-1,libertem/libertem-dev,,,,"['ipyconfig:/root/.ipython/', {'type': 'bind', 'source': '../../data', 'target': '/data'}]",['scheduler']
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,ipy-worker-2,libertem/libertem-dev,,,,"['ipyconfig:/root/.ipython/', {'type': 'bind', 'source': '../../data', 'target': '/data'}]",['scheduler']
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,tests,libertem/libertem-dev,,,"['DASK_SCHEDULER_ADDRESS=tcp://scheduler:8786', 'TESTDATA_BASE_PATH=/data/']","['ipyconfig:/root/.ipython/', {'type': 'bind', 'source': '../../data', 'target': '/data'}]","['scheduler', 'worker-1', 'worker-2', 'ipy-controller', 'ipy-worker-1', 'ipy-worker-2']"
esmBot/esmBot,latest,/docker-compose.yml,bot,esmbot,,{'esmbot': {'ipv4_address': '172.20.0.2'}},"{'OUTPUT': '/home/esmBot/help/help.md', 'TEMPDIR': '/home/esmBot/temp'}","['./logs:/home/esmBot/.internal/logs', './bot-help:/home/esmBot/help', './bot-temp:/home/esmBot/temp', './servers.json:/home/esmBot/.internal/servers.json']","['lavalink', 'postgres']"
esmBot/esmBot,latest,/docker-compose.yml,lavalink,fredboat/lavalink:dev,,{'esmbot': {'ipv4_address': '172.20.0.3'}},,"['./application.yml:/opt/Lavalink/application.yml', './assets:/opt/Lavalink/assets']",
esmBot/esmBot,latest,/docker-compose.yml,postgres,postgres:13-alpine,,{'esmbot': {'ipv4_address': '172.20.0.4'}},"{'POSTGRES_PASSWORD': 'verycoolpass100', 'POSTGRES_USER': 'esmbot', 'POSTGRES_DB': 'esmbot'}","['pg-data:/var/lib/postgresql/data', './utils/psqlinit.sh:/docker-entrypoint-initdb.d/psqlinit.sh']",
esmBot/esmBot,latest,/docker-compose.yml,adminer,adminer,['8888:8080'],{'esmbot': {'ipv4_address': '172.20.0.5'}},,,['postgres']
jakowenko/double-take,latest,/docker-compose.yml,double-take,jakowenko/double-take,['3000:3000'],,,['double-take:/.storage'],
jakowenko/double-take,latest,/.develop/docker-compose.yml,frontend,,['8080:8080'],,,"['..:/double-take', '/double-take/frontend/node_modules']",['api']
jakowenko/double-take,latest,/.develop/docker-compose.yml,api,,['3000:3000'],,,"['..:/double-take', '/double-take/api/node_modules']",['mqtt']
jakowenko/double-take,latest,/.develop/docker-compose.yml,mqtt,eclipse-mosquitto,['1883:1883'],,,['./mosquitto.conf:/mosquitto/config/mosquitto.conf'],
spacechop/spacechop,latest,/docker-compose.travis.yml,spacechop,,,,['LOG_FILE=test'],['./coverage:/src/coverage'],
spacechop/spacechop,latest,/docker-compose.override.yml,spacechop,,,,,"['./src:/src/app', './config.yml:/config.yml']",
spacechop/spacechop,latest,/docker-compose.packages.yml,spacechop,,,,,"['./packages/types:/src/types', './src:/src/app']",
spacechop/spacechop,latest,/docker-compose.yml,spacechop,spacechop,['8080:3000'],,,,
spacechop/spacechop,latest,/examples/docker-compose.yml,spacechop,spacechop/spacechop:latest,['8080:3000'],,,['./config.yml:/config.yml'],
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,tailscale,,['8080'],,,,
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,proxy,,,,,,
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,frontend,,,,,,
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,db,,['5432'],,,,
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,queue,rabbitmq:3-management,"['5672', '15672']",,,,
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,backend,,,,,"['./backend/grid:/app/grid', './backend/alembic:/app/alembic', '../syft:/app/syft', './data/package-cache:/root/.cache']",
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,backend_stream,,,,,"['./backend/grid:/app/grid', './backend/alembic:/app/alembic', '../syft:/app/syft', './data/package-cache:/root/.cache']",
OpenMined/PySyft,latest,/packages/grid/docker-compose.dev.yml,celeryworker,,,,,"['./backend/grid:/app/grid', './backend/alembic:/app/alembic', '../syft:/app/syft', './data/package-cache:/root/.cache']",
OpenMined/PySyft,latest,/packages/grid/docker-compose.tls.yml,tailscale,,['${HTTPS_PORT}:${HTTPS_PORT}'],,,,
OpenMined/PySyft,latest,/packages/grid/docker-compose.tls.yml,proxy,,,,"['TRAEFIK_TLS_CONF=${TRAEFIK_TLS_CONF}', 'TRAEFIK_TLS_CERTS=${TRAEFIK_TLS_CERTS}']","['${TRAEFIK_TLS_CONF}:/etc/traefik/dynamic-configurations', '${TRAEFIK_TLS_CERTS}:/etc/traefik/certs']",
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,docker-host,qoomon/docker-host,,,,,
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,tailscale,${DOCKER_IMAGE_TAILSCALE?Variable not set}:${VERSION-latest},"['${HTTP_PORT}:81', '41641/udp', '4000']",,"['RELEASE=${RELEASE:-production}', 'HOSTNAME=${DOMAIN_NAME?Variable not set}', 'STACK_API_KEY=$STACK_API_KEY']","['tailscale-data:/var/lib/tailscale', '/dev/net/tun:/dev/net/tun']",['docker-host']
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,proxy,${DOCKER_IMAGE_TRAEFIK?Variable not set},,"['${TRAEFIK_PUBLIC_NETWORK?Variable not set}', 'default']",['RELEASE=${RELEASE:-production}'],['/var/run/docker.sock:/var/run/docker.sock'],
